imdb_title,tmdb_titles,budget,revenue
The Shawshank Redemption,The Shawshank Redemption,25000000.0,28341469.0
The Godfather,The Godfather,6000000.0,245066411.0
The Dark Knight,The Dark Knight,185000000.0,1004558444.0
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,94000000.0,1118888979.0
Schindler's List,Schindler's List,22000000.0,321365567.0
The Godfather Part II,The Godfather Part II,13000000.0,102600000.0
12 Angry Men,12 Angry Men,397751.0,4360000.0
Pulp Fiction,Pulp Fiction,8000000.0,213928762.0
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,93000000.0,871368364.0
Inception,Inception,160000000.0,839030630.0
Fight Club,Fight Club,63000000.0,100853753.0
Forrest Gump,Forrest Gump,55000000.0,677387716.0
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,79000000.0,926287400.0
"The Good, the Bad and the Ugly","The Good, the Bad and the Ugly",1200000.0,38900000.0
Interstellar,Interstellar,165000000.0,746606706.0
The Matrix,The Matrix,63000000.0,463517383.0
Star Wars: Episode V - The Empire Strikes Back,The Empire Strikes Back,18000000.0,538400000.0
Goodfellas,GoodFellas,25000000.0,46800000.0
One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,3000000.0,108981275.0
Se7en,Se7en,33000000.0,327311859.0
The Silence of the Lambs,The Silence of the Lambs,19000000.0,272742922.0
Saving Private Ryan,Saving Private Ryan,70000000.0,481840909.0
Star Wars: Episode IV - A New Hope,Star Wars,11000000.0,775398007.0
The Green Mile,The Green Mile,60000000.0,286801374.0
Terminator 2: Judgment Day,Terminator 2: Judgment Day,102000000.0,520000000.0
Spirited Away,Spirited Away,19000000.0,274925095.0
City of God,City of God,3300000.0,30641770.0
Life Is Beautiful,Life Is Beautiful,20000000.0,230098753.0
Jai Bhim,Jai Bhim,0.0,0.0
12th Fail,12th Fail,2400000.0,8300000.0
Django Unchained,Django Unchained,100000000.0,425368238.0
Gladiator,Gladiator,103000000.0,465516248.0
The Prestige,The Prestige,40000000.0,109676311.0
The Departed,The Departed,90000000.0,291465000.0
Back to the Future,Back to the Future,19000000.0,381109762.0
Léon: The Professional,Léon: The Professional,16000000.0,45284974.0
American History X,American History X,20000000.0,23900000.0
The Lion King,The Lion King,45000000.0,763455561.0
The Usual Suspects,The Usual Suspects,6000000.0,23300000.0
Whiplash,Whiplash,3300000.0,50307484.0
Parasite,Parasite,800000.0,7000000.0
Alien,Alien,11000000.0,104931801.0
The Intouchables,The Intouchables,0.0,0.0
The Pianist,The Pianist,35000000.0,120098945.0
Psycho,Psycho,60000000.0,37100000.0
Casablanca,Casablanca,878000.0,10462500.0
Dune: Part Two,Dune: Part Two,190000000.0,714444358.0
It's a Wonderful Life,It's a Wonderful Life,3180000.0,9644124.0
Seven Samurai,Seven Samurai,2000000.0,105000000.0
Soorarai Pottru,Soorarai Pottru,0.0,0.0
The Chaos Class,The Chaos Class,0.0,0.0
The Dark Knight Rises,The Dark Knight Rises,250000000.0,1081041287.0
Inglourious Basterds,Inglourious Basterds,70000000.0,321457747.0
Memento,Memento,9000000.0,40047236.0
Avengers: Endgame,Avengers: Endgame,356000000.0,2799439100.0
Avengers: Infinity War,Avengers: Infinity War,300000000.0,2052415039.0
WALL·E,WALL·E,180000000.0,521311860.0
The Shining,The Shining,19000000.0,44781695.0
Raiders of the Lost Ark,Raiders of the Lost Ark,18000000.0,389925971.0
Aliens,Aliens,18500000.0,183316455.0
Apocalypse Now,Apocalypse Now,31500000.0,150000000.0
Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,90000000.0,384298736.0
Coco,Coco,175000000.0,807816196.0
The Kashmir Files,The Kashmir Files,0.0,0.0
Rear Window,Rear Window,1000000.0,37042336.0
Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,100000000.0,690897910.0
Once Upon a Time in the West,Once Upon a Time in the West,5000000.0,5380118.0
Grave of the Fireflies,Grave of the Fireflies,0.0,0.0
Cinema Paradiso,Cinema Paradiso,5000000.0,11990401.0
Modern Times,Modern Times,1500000.0,1800000.0
City Lights,City Lights,1500000.0,4250000.0
Joker,Joker,55000000.0,1078958629.0
American Beauty,American Beauty,15000000.0,356296601.0
Up,Up,175000000.0,735099082.0
Star Wars: Episode VI - Return of the Jedi,Return of the Jedi,32350000.0,572700000.0
Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,20000000.0,72258126.0
Good Will Hunting,Good Will Hunting,10000000.0,225900000.0
Reservoir Dogs,Reservoir Dogs,0.0,0.0
Braveheart,Braveheart,72000000.0,213216216.0
Toy Story,Toy Story,30000000.0,394436586.0
Scarface,Scarface,25000000.0,66023329.0
Requiem for a Dream,Requiem for a Dream,4500000.0,7390108.0
Toy Story 3,Toy Story 3,200000000.0,1067316101.0
Oppenheimer,Oppenheimer,100000000.0,952000000.0
Amélie,Amélie,10000000.0,173921954.0
Heat,Heat,60000000.0,187400000.0
2001: A Space Odyssey,2001: A Space Odyssey,12000000.0,71923560.0
Oldboy,Oldboy,30000000.0,5200000.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000.0,9500000.0
3 Idiots,3 Idiots,9000000.0,70000000.0
Amadeus,Amadeus,18000000.0,90007557.0
The Lives of Others,The Lives of Others,2000000.0,77672685.0
Your Name.,Your Name.,0.0,358000000.0
Das Boot,Das Boot,14000000.0,85000000.0
The Great Dictator,The Great Dictator,2000000.0,11000000.0
Sunset Boulevard,Sunset Boulevard,1752000.0,5000000.0
Paths of Glory,Paths of Glory,935000.0,1200000.0
Harakiri,Harakiri,0.0,0.0
The Wolf of Wall Street,The Wolf of Wall Street,100000000.0,407038432.0
Batman Begins,Batman Begins,150000000.0,374218673.0
Shutter Island,Shutter Island,80000000.0,294804195.0
The Truman Show,The Truman Show,60000000.0,264100000.0
Kill Bill: Vol. 1,Kill Bill: Vol. 1,30000000.0,180906076.0
Finding Nemo,Finding Nemo,94000000.0,940335536.0
No Country for Old Men,No Country for Old Men,25000000.0,171627166.0
Jurassic Park,Jurassic Park,63000000.0,920100000.0
The Sixth Sense,The Sixth Sense,40000000.0,672800000.0
A Beautiful Mind,A Beautiful Mind,58000000.0,316791257.0
Die Hard,Die Hard,28000000.0,140767956.0
Taxi Driver,Taxi Driver,1900000.0,28579636.0
Spider-Man: No Way Home,Spider-Man: No Way Home,200000000.0,1921847111.0
Snatch,Snatch,10000000.0,83557872.0
A Clockwork Orange,A Clockwork Orange,2200000.0,27033812.0
Prisoners,Prisoners,46000000.0,122126687.0
Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,48000000.0,474171806.0
Full Metal Jacket,Full Metal Jacket,30000000.0,46357676.0
Top Gun: Maverick,Top Gun: Maverick,170000000.0,1488732821.0
1917,1917,100000000.0,394638258.0
Pan's Labyrinth,Pan's Labyrinth,19000000.0,83258226.0
There Will Be Blood,There Will Be Blood,25000000.0,77208711.0
L.A. Confidential,L.A. Confidential,35000000.0,126216940.0
Green Book,Green Book,23000000.0,321752656.0
Casino,Casino,50000000.0,116112375.0
Monty Python and the Holy Grail,Monty Python and the Holy Grail,400000.0,5763644.0
The Thing,The Thing,15000000.0,19629760.0
Howl's Moving Castle,Howl's Moving Castle,24000000.0,236049757.0
Citizen Kane,Citizen Kane,839727.0,23218000.0
Princess Mononoke,Princess Mononoke,23500000.0,176506186.0
Vertigo,Vertigo,2479000.0,7808900.0
Once Upon a Time in America,Once Upon a Time in America,30000000.0,5500000.0
The Hunt,The Hunt,14000000.0,10550350.0
North by Northwest,North by Northwest,4000000.0,13275000.0
To Kill a Mockingbird,To Kill a Mockingbird,2000000.0,13129846.0
Lawrence of Arabia,Lawrence of Arabia,15000000.0,69995385.0
The Sting,The Sting,5500000.0,159616327.0
Singin' in the Rain,Singin' in the Rain,2540800.0,7200000.0
A Separation,A Separation,0.0,0.0
